"","Epiweek1","Epiweek2","Epiweek3","Epiweek4","Epiweek5","Epiweek6","Epiweek7","Epiweek8","Epiweek9","Epiweek10","Epiweek11","Epiweek12","Epiweek13","Epiweek14","Epiweek15","Epiweek16","Epiweek17","Epiweek18","Epiweek19","Epiweek20","Epiweek21","Epiweek22","Epiweek23","Epiweek24","Epiweek25","Epiweek26","Epiweek27","Epiweek28","Epiweek29","Epiweek30","Epiweek31","Epiweek32","Epiweek33","Epiweek34","Epiweek35","Epiweek36","Epiweek37","Epiweek38","Epiweek39","Epiweek40","Epiweek41","Epiweek42","Epiweek43","Epiweek44","Epiweek45","Epiweek46","Epiweek47","Epiweek48","Epiweek49","Epiweek50","Epiweek51","Epiweek52","country"
"58","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eswatini"
"59","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ethiopia"
"60","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Falkland Islands"
"61","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Faroe Islands"
"62","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fiji"
"63","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Green","Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Finland"
"64","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France"
"65","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"French Guiana"
"66","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gabon"
"67","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Red","Red","Red","Red","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georgia"
"68","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Amber","Green","Green","Green","Green","Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Germany"
